stock,signal,confidence
TATASTEEL.NS,NO TRADE,0.68
BEL.NS,SELL,0.34
KOTAKBANK.NS,SELL,0.33
SBIN.NS,SELL,0.29
JIOFIN.NS,SELL,0.28
WIPRO.NS,SELL,0.27
ITC.NS,SELL,0.27
ICICIBANK.NS,SELL,0.27
NTPC.NS,SELL,0.26
JSWSTEEL.NS,SELL,0.25
TITAN.NS,SELL,0.25
HCLTECH.NS,SELL,0.25
MARUTI.NS,SELL,0.25
HDFCLIFE.NS,SELL,0.25
ONGC.NS,SELL,0.25
BAJAJFINSV.NS,SELL,0.25
TRENT.NS,SELL,0.25
ADANIENT.NS,SELL,0.25
TECHM.NS,SELL,0.25
INDUSINDBK.NS,SELL,0.25
BPCL.NS,SELL,0.25
RELIANCE.NS,SELL,0.24
SBILIFE.NS,SELL,0.24
CIPLA.NS,SELL,0.24
AXISBANK.NS,SELL,0.23
HEROMOTOCO.NS,SELL,0.23
ASIANPAINT.NS,SELL,0.23
SUNPHARMA.NS,SELL,0.23
BAJFINANCE.NS,SELL,0.23
BRITANNIA.NS,SELL,0.23
ICICIPRULI.NS,SELL,0.23
UPL.NS,SELL,0.23
HINDUNILVR.NS,SELL,0.23
DIVISLAB.NS,SELL,0.22
BAJAJ-AUTO.NS,SELL,0.22
M&M.NS,SELL,0.22
ULTRACEMCO.NS,SELL,0.22
DRREDDY.NS,SELL,0.22
SHREECEM.NS,SELL,0.22
EICHERMOT.NS,SELL,0.22
ADANIPORTS.NS,SELL,0.22
NESTLEIND.NS,SELL,0.22
TCS.NS,SELL,0.22
HDFCBANK.NS,SELL,0.22
APOLLOHOSP.NS,SELL,0.21
HINDALCO.NS,SELL,0.21
IOC.NS,SELL,0.21
INDIGO.NS,SELL,0.19
POWERGRID.NS,SELL,0.18
GRASIM.NS,SELL,0.18
BHARTIARTL.NS,SELL,0.18
INFY.NS,SELL,0.18
SHRIRAMFIN.NS,SELL,0.18
LT.NS,SELL,0.14
COALINDIA.NS,SELL,0.11
